dart0.jpg,  443, 16, 151, 176
dart1.jpg,  198, 133, 191, 192
dart2.jpg, 103, 99, 86, 87
dart3.jpg, 325, 150, 61, 67
dart4.jpg, 185, 96, 164, 198
dart5.jpg, 431, 144, 104, 106
dart6.jpg, 214, 119, 56, 61
dart7.jpg, 253, 169, 112, 147
dart8.jpg, 844, 219, 110, 120
dart9.jpg, 204, 51, 228, 230
dart10.jpg, 88, 88, 198, 112
dart10.jpg, 582, 129, 58, 85
dart10.jpg, 911, 146, 40, 70
dart11.jpg, 172, 105, 58, 50
dart12.jpg, 154, 77, 58, 137
dart13.jpg, 273, 122, 124, 131
dart14.jpg, 125, 103, 115, 125
dart14.jpg, 987, 96, 120, 122
dart15.jpg, 149, 52, 135, 142
